,run,epoch,loss,accuracy,epoch_duration,run_duration,lr,batch_size
0,1,1,62.26147729,603.0333333,7.723142147,8.291114092,0.01,1000
1,1,2,33.59880739,784.6833333,7.948668957,16.27366543,0.01,1000
2,1,3,27.87884012,824.3,8.398766994,24.7028358,0.01,1000
3,1,4,24.91929591,844.5333333,7.957896471,32.68772984,0.01,1000
4,1,5,22.32846496,861.25,7.976261854,40.69326949,0.01,1000
5,2,1,40.68305874,953.1666667,7.983700514,8.943711281,0.01,2000
6,2,2,19.91192037,1489.333333,7.954291582,16.93020797,0.01,2000
7,2,3,16.34720516,1579.133333,7.959155083,24.91844296,0.01,2000
8,2,4,14.55948964,1633.666667,7.900516987,32.84361482,0.01,2000
9,2,5,13.39130542,1668.966667,8.114774704,40.98052311,0.01,2000
10,3,1,94.83685309,471.4,8.01588583,8.522145033,0.001,1000
11,3,2,47.51087052,701.2333333,8.005211353,16.55571985,0.001,1000
12,3,3,41.24338835,738.6666667,8.015870094,24.60460997,0.001,1000
13,3,4,37.87015474,757.2,8.036339998,32.67247224,0.001,1000
14,3,5,35.52415317,773.4,8.075665712,40.77268529,0.001,1000
15,4,1,58.83478737,798.5666667,8.194242954,9.168922901,0.001,2000
16,4,2,27.78968525,1336.133333,7.916453123,17.1156466,0.001,2000
17,4,3,23.02347934,1430.933333,8.047167778,25.19465828,0.001,2000
18,4,4,20.87000245,1478.566667,7.984907389,33.20737743,0.001,2000
19,4,5,19.32566977,1514.533333,8.35869503,41.59014702,0.001,2000
